Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Юхименко,Леон,Русланович,male,1987-05-04,Музикознавець,місто Полтава,"набережна Лінія 35-та, буд. 7 кв. 3, Чигирин, 49302",069 745-70-90,oviter@example.com
Артюх,Златослава,Павлівна,female,1969-04-20,Електрослюсар,хутір Корсунь-Шевченківський,"сквер Богуна, буд. 2 кв. 3, Сніжне, 79427",742-16-76,prokhir60@example.org
Ірванець,Борис,Євгенійович,male,1964-06-06,Кінокритик,хутір Енергодар,"вулиця Віри Холодної, буд. 1, Погребище, 94178",036 047 45 88,nosachenkotetiana@example.org
Бабак,Світлана,Францівна,female,1942-06-14,Електрослюсар,хутір Тиврів,"вулиця Кришталевий, буд. 4 кв. 12, Дубно, 61188",052 688 15 50,bazylevychsofiia@example.net
Андріїшина,Оксана,Васильівна,female,1959-11-26,Стропальник,селище Слов'янськ,"проспект Моторний 1-й, буд. 36 кв. 991, Миронівка, 32828",657 07 67,ievtushokavrelii@example.com
Влох,Артем,Лукʼянович,male,1958-06-13,Актор,місто Лисичанськ,"сквер Стеценко, буд. 2, Овруч, 77421",092 554-78-73,maksymzubko@example.net
Рябошапка,Юстина,Гаврилівна,female,1961-07-01,Фрілансер,місто Звенигородка,"проспект Лазурний 6-й, буд. 15, Джанкой, 98886",924 15 68,semenchenkoieva@example.com
Стельмах,Пармен,Святославович,male,1939-10-18,Слідчий,село Дубровиця,"парк 5-та Суворовська, буд. 56, Черкаси, 50738",048 058 52 87,gievtushok@example.net
Баштан,Арсен,Степанович,male,1962-12-05,Водій,село Біла Церква,"сквер Мелітопольська, буд. 35 кв. 79, Носівка, 70931",828 18 98,aaronhavryshkevych@example.org
Затовканюк,Вікторія,Богуславівна,female,2008-02-14,Режисер,село Корець,"сквер Молодіжна, буд. 0, Феодосія, 34052",+380 87 779-11-92,riabchenkoviktor@example.com
Ванченко,Надія,Едуардівна,female,1970-06-02,Клоун,селище Прип'ять ,"сквер Новикова, буд. 08, Старокостянтинів, 55912",634-12-30,sneporozhnii@example.org
Притула,Артем,Пилипович,male,1945-03-09,Модель,хутір Приморськ (Україна),"вулиця Карантинний узвіз, буд. 41 кв. 787, Дніпро , 61269",+380 (45) 193-09-26,teodortsarenko@example.org
Килимник,Ярема,Пантелеймонович,male,1986-10-03,Художник,місто Судова Вишня,"вулиця Павлодарська, буд. 8, Хорол , 72260",020 587-07-46,kmamchur@example.net
Заруба,Ярослав,Болеславович,male,1997-10-30,Державний службовець,місто Саки ,"набережна Василя Кандинського 3-й, буд. 5, Балаклія, 83797",+380 78 755 14 14,hlibbazylevych@example.org
Сагаль,Надія,Спасівна,female,2001-10-15,Ювелір,хутір Київ,"вулиця Новгородська, буд. 76 кв. 2, Сколе, 77210",064 917 16 49,ruslan70@example.net
Батіг,Устим,Алевтинович,male,1941-01-06,Географ,село Путивль,"шосе Пiвденний, буд. 7, Липовець, 07548",199 53 42,qperebyinis@example.org
Комар,Оксенія,Захарівна,female,1958-05-12,Клавішник,село Судова Вишня,"сквер Тираспольська, буд. 341, Миргород, 22430",090 738 23 99,stetssolomiia@example.com
Опанасенко,Прохір,Мартинович,male,1981-12-11,Стоматолог,селище Ямпіль,"проспект Новоселів, буд. 027, Первомайський , 78073",821-28-76,albinaiermolenko@example.org
Макогон,Йосип,Амвросійович,male,2008-03-10,Підприємець,селище Городня,"проспект Академіка Вавилова, буд. 1 кв. 7, Новий Розділ, 31566",016 158-91-83,irenaakymenko@example.com
Вакуленко,Ярина,Русланівна,female,1976-02-02,Випробувач,селище Алмазна,"провулок Болгарська, буд. 537, Іловайськ, 10753",+380 57 280-34-94,serhiisymonenko@example.org
Каденюк,Роксолана,Іллівна,female,1979-09-12,Режисер,селище Світловодськ,"провулок Наявний 2-й, буд. 8 кв. 820, Знам'янка, 30123",522-12-19,daryna68@example.com
Дубас,Єва,Ігнатівна,female,1970-07-23,Соціолог,село Івано-Франківськ,"набережна Моторна, буд. 037 кв. 19, Перещепине, 11781",364 80 84,ostappylypenko@example.com
Колодуб,Златослава,Демидівна,female,1988-01-31,Фотограф,хутір Сімферополь,"парк Історія Футболу, буд. 9, Буськ, 47206",+380 (03) 978-35-07,solomon69@example.net
Гаврилів,Софія,Теодорівна,female,1988-01-13,Кушнір,село Олександрія,"набережна Літня, буд. 079 кв. 808, Павлоград, 64744",+380 53 373-79-46,boryslavkarpenko@example.net
Онищенко,Варвара,Борисівна,female,1979-11-14,Модель,село Новоукраїнка,"набережна Морехідний, буд. 72, Олешки, 58338",+380 08 909 28 28,zatulataras@example.net
Зарудний,Ярослав,Олесьович,male,1978-11-29,Інженер,селище Золочів,"сквер Академіка Воробйова, буд. 11, Горохів, 60939",566 08 07,anita50@example.net
Зінчук,Лариса,Теодорівна,female,1955-04-28,Музикант,хутір Гайворон,"вулиця Лінійний, буд. 6 кв. 086, Борзна, 21769",+380 (13) 663-00-12,albert55@example.com
Карась,Арсен,Георгійович,male,2003-07-17,Провізор,місто Перемишляни,"вулиця Яблучна, буд. 6 кв. 19, Рожище, 88286",+380 64 542-09-90,arsensliusar@example.org
Пушкар,Анастасія,Мирославівна,female,1972-06-17,Дантист,селище Южне,"площа Нова, буд. 385, Тараща, 35797",+380 01 555-56-60,tsymbaliukpylyp@example.org
Єресько,Софія,Макарівна,female,1971-07-17,Астронавт,хутір Скалат,"шосе 7-ма Лінія Дачі Ковалевського, буд. 942 кв. 28, Вугледар, 55550",045 194 13 71,shchorsvioletta@example.org
Петренко,Мілена,Миколаївна,female,1959-07-30,Модельєр,селище Помічна,"набережна Українська, буд. 076 кв. 65, Кропивницький, 45249",+380 (45) 347-59-09,hlukash@example.org
Євтушок,Андрій,Артемович,male,1985-10-05,Хімік,місто Угнів,"шосе Канатний, буд. 51 кв. 4, Федорівка, 92861",+380 14 064-90-23,petliuramykolai@example.com
Захарченко,Августин,Йосипович,male,1966-01-22,Педагог,хутір Торецьк,"набережна Некрасова, буд. 97 кв. 669, Болехів, 85338",003 49 88,vkozachenko@example.net
Пустовіт,Леопольд,Пилипович,male,1977-04-15,Няня,місто Бориспіль,"вулиця Лузанівка, буд. 30 кв. 34, Гірське, 77271",+380 23 772-38-60,starasenko@example.org
Байда,Остап,Данилович,male,1992-03-25,Ботанік,місто Ясинувата,"набережна Романтиків, буд. 26 кв. 2, Покров, 50470",+380 32 799-72-74,dromanchuk@example.com
Ґоляш,Єва,Мартинівна,female,1983-03-02,Бізнесмен,село Конотоп,"узвіз Тульська, буд. 5, Узин, 29697",+380 66 313-03-19,stsushko@example.org
Данько,Соломон,Теодорович,male,1991-08-08,Геофізик,місто Чоп,"вулиця Станційна 3-тя, буд. 5, Калуш, 30892",030 261-96-26,okseniia18@example.org
Бабʼяк,Дан,Михайлович,male,1986-12-19,Драматург,селище Липовець,"площа Сосюри, буд. 099, Костянтинівка, 50515",+380 45 982-09-76,ykorzh@example.net
Корж,Галина,Єлисеївна,female,1955-05-13,Петрограф,селище Путивль,"узвіз Міхновського Миколи, буд. 5, Городище , 22058",095 205 23 03,furssviatoslav@example.com
Височан,Орхип,Веніяминович,male,1944-01-03,Економіст,хутір Богодухів,"узвіз Ризька, буд. 283, Ялта, 36680",022 405 38 94,irynatverdokhlib@example.com
Оробець,Євген,Леонтійович,male,1943-04-27,Модельєр,місто Харцизьк,"набережна Куликове поле, буд. 4, Середина-Буда, 71714",+380 10 669 84 20,fediriermolenko@example.com
Базилевський,Данило,Леонтійович,male,1987-03-06,Шериф,селище Краматорськ,"узвіз Амундсена, 2-й, буд. 2 кв. 320, Євпаторія, 42358",087 058 92 92,pryimakemiliia@example.com
Хмара,Ярина,Соломонівна,female,1972-08-17,Історик,місто Севастополь,"площа Український 3-й, буд. 140 кв. 761, Зугрес, 49142",956-95-25,taraskabanenko@example.com
Лисенко,Ірина,Віталіївна,female,1982-05-06,Футболіст,село Заводське,"вулиця Приморський, буд. 85 кв. 031, Новоград-Волинський, 69931",+380 38 076 77 24,orest30@example.com
Алексюк,Леопольд,Опанасович,male,1979-01-30,Хімік,хутір Міусинськ,"площа Аркадіївський, буд. 892, Сторожинець, 19296",+380 10 551 24 92,liliia83@example.com
Мазур,Галина,Павлівна,female,1977-10-09,Машиніст,селище Городенка,"провулок Новикова, буд. 9, Гірське, 36868",+380 41 398 04 99,amaliia46@example.org
Демʼяненко,Едита,Кирилівна,female,1989-09-17,Кушнір,хутір Кремінна,"площа Матеріальний 1-й, буд. 548 кв. 55, Апостолове, 22908",+380 22 347 47 45,dparasiuk@example.net
Вергун,Соломія,Іллівна,female,1950-03-13,Бібліотекар,селище Корюківка,"шосе Святослава Ріхтера, буд. 29 кв. 58, Волочиськ, 48293",+380 08 979 30 62,okhrimdashkevych@example.com
Жаліло,Мілена,Дмитріївна,female,1984-11-16,Астроном,хутір Тячів,"площа Стражеска Миколи, буд. 27 кв. 0, Пирятин, 27797",+380 46 187-63-10,hanna01@example.net
Павленко,Ростислав,Станіславович,male,1954-07-31,Мікробіолог,село Вугледар,"узвіз Романтиків, буд. 7 кв. 044, Севастополь, 82060",+380 19 014 18 51,kartiukh@example.com
Штепа,Лукʼян,Яремович,male,2000-12-23,Педагог,село Щастя ,"узвіз Водопровідна, буд. 4, Липовець, 07101",080 619-43-95,volodymyr04@example.net
Ємець,Давид,Олексович,male,1964-05-01,Мистецтвознавець,село Запоріжжя,"проспект Радіальний, буд. 339, Яготин, 06667",437 09 21,amvrosii27@example.com
Іщак,Віолетта,Пилипівна,female,1961-10-27,Слідчий,село Збараж,"провулок Кладовищний, буд. 96 кв. 926, Херсон, 71072",046 018 80 92,isaievychstefan@example.org
Даценко,Соломія,Данилівна,female,2001-12-08,Живописець,селище Бориспіль,"набережна Марата, буд. 858, Глухів, 17187",+380 (50) 862-68-36,eonufriienko@example.com
Лисенко,Богданна,Марківна,female,1951-01-05,Стиліст,хутір Буринь,"узвіз Красносільська, буд. 994, Олевськ, 60384",314 39 50,hryhorii33@example.net
Конопля,Володимира,Остапівна,female,1987-08-19,Художник,селище Буринь,"узвіз Ламаний, буд. 31, Білопілля, 01485",061 994-73-63,varvarafranchuk@example.net
Джус,Дарина,Остапівна,female,1987-07-24,Фармацевт,селище Дубляни,"набережна Естонський, буд. 83 кв. 8, Яворів, 10617",+380 26 164 59 88,chalenkovenedykt@example.com
Заруба,Демʼян,Прохорович,male,1958-06-18,Палеонтолог,село Пирятин,"набережна Професора Коровицького, буд. 11 кв. 8, Рахів, 11151",+380 (81) 019-55-02,vakhniialina@example.com
Жаліло,Одарка,Ростиславівна,female,1971-11-17,Бібліограф,село Глиняни,"узвіз Андросовський, буд. 7, Мукачево, 96383",015 755 10 49,bashtanbohdanna@example.net
Запорожець,Пармен,Устимович,male,1993-06-18,Конструктор,селище Лохвиця,"узвіз Карантинний узвіз, буд. 927 кв. 193, Городня, 71999",+380 27 119-89-47,diakovenko@example.org
Тарасенко,Михайлина,Остапівна,female,1974-02-26,Випробувач,село Кам'янка-Дніпровська,"площа Басейний 3-й, буд. 57 кв. 6, Ворожба, 04632",191 02 80,amvrosiiholoborodko@example.org
Давимука,Віра,Бориславівна,female,1954-07-02,Астроном,місто Кипуче,"набережна Овідіопольська, буд. 1 кв. 8, Новомиргород, 48116",+380 83 744-57-72,rdzhus@example.com
Ващенко,Тетяна,Данилівна,female,1992-04-06,Гінеколог,село Березівка,"парк Данила Крижанівського, буд. 912 кв. 65, Перемишляни, 71918",+380 91 278-26-65,arkadiifranko@example.net
Матяш,Владислав,Олександрович,male,1955-12-17,Зоолог,місто Турка,"сквер Василя Кандинського 4-й, буд. 31 кв. 799, Первомайський , 77638",+380 68 501-68-01,onyshchenkozynovii@example.com
Павличенко,Опанас,Степанович,male,1944-10-13,Паблік рилейшнз,село Ржищів,"узвіз ім. С.Ю. Вітте, буд. 636, Сулимівка (Слов'янськ), 24022",087 935-48-26,arkadiivovk@example.org
Малик,Лілія,Семенівна,female,1965-03-11,Швачка,село Амвросіївка,"проспект Морехідний, буд. 02 кв. 496, Глиняни, 73313",+380 25 955-04-30,anzhela45@example.org
Ярема,Петро,Сергійович,male,2004-01-15,Графік,село Черкаси,"проспект П'ята, буд. 099 кв. 6, Лиман , 85995",182 80 42,rubetsanzhela@example.net
Саєнко,Пармен,Альбертович,male,1939-01-20,Кушнір,місто Ровеньки,"узвіз Штильова, буд. 9 кв. 0, Сокаль, 40959",248-61-24,myroslavriabovil@example.com
Адаменко,Ада,Орестівна,female,1989-11-07,Євнух,місто Гуляйполе,"проспект Профспілкова, буд. 69, Помічна, 94194",+380 57 150-48-51,nestor46@example.net
Даньків,Камілла,Адамівна,female,1941-09-28,Акушер,хутір Новий Розділ,"площа Черешнева, буд. 31, Рава-Руська, 86324",+380 49 120-58-31,iefremorlyk@example.net
Дутка,Августин,Охрімович,male,1956-06-25,Геолог,селище Українськ,"сквер Пересипська 7-ма, буд. 648, Стебник, 69859",575-40-92,bohdanna64@example.com
Зінчук,Леонід,Климентович,male,1976-04-03,Футболіст,місто Славутич,"набережна Жасминна, буд. 51 кв. 4, Святогірськ, 65286",+380 42 604-63-51,oiermolenko@example.org
Адаменко,Володимир,Йосипович,male,1988-10-20,Етнограф,хутір Харків,"проспект Прохоровська, буд. 6, Сквира, 48240",916 16 62,nazarvyshyvanyi@example.net
Засенко,Демид,Орестович,male,1980-01-28,Вчитель,хутір Первомайськ,"проспект Об'їзна дорога, буд. 21, Дружба , 56772",084 43 59,zasukhadmytro@example.com
Бабій,Дмитро,Семенович,male,1950-03-11,Режисер,хутір Болград,"проспект Сергія Уточкіна, буд. 74 кв. 7, Борислав, 69354",094 410 43 23,sviatoslav21@example.net
Байрак,Орина,Пантелеймонівна,female,1957-11-21,Електрик,місто Білгород-Дністровський,"вулиця Матроська Слобідка, буд. 63 кв. 83, Новоград-Волинський, 10888",026 055 32 12,anitavernydub@example.com
Чміль,Одарка,Миколаївна,female,1976-10-16,Каскадер,селище Олевськ,"площа Чорноморський 10-й, буд. 873 кв. 3, Ямпіль, 48636",+380 (99) 541-87-28,petliuraleonid@example.net
Медведенко,Лариса,Леонтіївна,female,1962-11-02,Реабілітолог,селище Лиман ,"парк Ванний, буд. 87 кв. 5, Червоносів, 38278",064 744-19-06,avhustynbabychenko@example.net
Дзиндра,Богуслава,Венедиктівна,female,1960-06-21,М'ясник,селище Мирноград,"площа Стовпова, буд. 3, Мукачево, 65810",+380 22 877-89-58,priska38@example.net
Баран,Охрім,Азарович,male,1945-03-10,Геофізик,хутір Кам'янець-Подільський,"площа Людмили Гінзбург, буд. 41, Сватове, 18883",+380 (98) 416-30-35,okseniia08@example.org
Жарко,Роксолана,Романівна,female,1946-06-20,Літературознавець,селище Батурин,"провулок Чубаївський, буд. 6, Обухів, 97919",006 151-83-78,ebaida@example.com
Чабан,Ірена,Кирилівна,female,1979-01-20,Електрик,хутір Ромни,"сквер Остапа Вишні, буд. 338 кв. 0, Сновськ, 57173",036 887-72-63,datsenkoielysei@example.org
Власюк,Леонтій,Михайлович,male,1960-01-19,Стропальник,місто Ясинувата,"проспект Танкерна, буд. 9, Добромиль, 21043",+380 02 701-55-81,jshchors@example.net
Карпенко,Вадим,Артемович,male,1963-12-12,Археолог,місто Богодухів,"парк Інтернаціональний, буд. 981 кв. 6, Яремче, 06753",097 07 15,zatovkaniukkyrylo@example.org
Яценюк,Златослава,Демидівна,female,1941-12-07,Слідчий,село Снятин,"набережна Хімічний 3-й, буд. 34, Довжанськ, 19373",017 916 58 40,csliusar@example.net
Жадан,Онисим,Миронович,male,2000-10-29,Письменник,хутір Тальне,"провулок Студентський 3-й, буд. 3 кв. 4, Шпола, 79959",085 449-30-37,prokhir86@example.com
Венгринович,Едуард,Азарович,male,2007-01-07,Антрополог,хутір Дружба ,"парк Сурикова 2-й, буд. 7, Лебедин, 06245",+380 27 292-06-90,zynovii35@example.net
Франчук,Оксана,Соломонівна,female,1973-04-07,Машиніст,селище Обухів,"проспект Краснова, буд. 6 кв. 83, Судак , 45546",007 142 63 51,ivanchenkooksana@example.net
Єсипенко,Соломія,Микитівна,female,1975-12-05,Музикознавець,місто Мена ,"вулиця Кифоренка Бориса, буд. 51 кв. 0, Чернівці, 45600",+380 32 452 91 57,stefanbaklan@example.org
Титаренко,Гліб,Альбертович,male,1977-02-05,Художник,хутір Світлодарськ,"проспект Гастелло, буд. 217, П'ятихатки, 31667",+380 80 319-96-96,dashenkohryhorii@example.org
Журба,Олег,Соломонович,male,2001-03-01,Різноробочий,місто Верхньодніпровськ,"площа Ширяївський, буд. 171, Кадіївка, 06892",+380 26 641 18 55,valentyna01@example.net
Ґалаґан,Тереза,Іллівна,female,1947-06-18,Різноробочий,село Монастирище,"проспект Академічна, буд. 78 кв. 4, Новогродівка, 27279",+380 (14) 856-80-57,artem48@example.com
Даниленко,Адам,Костянтинович,male,2007-12-14,Актор,селище Новогродівка,"парк Калнишевського Петра, буд. 154, Первомайськ, 91945",+380 (24) 696-43-94,viacheslav18@example.net
Опанасенко,Ігнат,Гаврилович,male,1985-08-22,Стоматолог,селище Дніпро ,"площа Павлодарська, буд. 5 кв. 39, Дергачі, 66574",070 853-65-32,iustyna14@example.net
Артим,Марія,Святославівна,female,1953-03-03,Флорист,місто Герца,"проспект Марії Демченко, буд. 64 кв. 5, Сімферополь, 69122",261-28-55,vasylevychherman@example.org
Шеремет,Ярослава,Костянтинівна,female,1958-01-03,Епідеміолог,селище Корець,"провулок Високий, буд. 5 кв. 61, Полтава, 40702",841 34 04,demydshtepa@example.org
Забарний,Миколай,Лукʼянович,male,1960-06-04,Сантехнік,село Борщів,"площа Магнітогорська, буд. 85, Вараш, 32484",018 609 77 73,kostiantynkhudiak@example.net
Зінкевич,Вікторія,Альбертівна,female,1997-12-06,Машиніст,хутір Сімферополь,"набережна Тінистий, буд. 0 кв. 7, Жашків, 55495",797-99-54,dubynaborys@example.com
Цюпа,Оксана,Костянтинівна,female,1979-08-10,Філолог,хутір Вишгород,"сквер Деревообробний 3-й, буд. 2 кв. 95, Чигирин, 58670",039 166 10 35,dannaiaremchuk@example.org
Дашкевич,Владислав,Леонтійович,male,1999-12-08,Шериф,хутір Яворів,"площа Колективний, буд. 28 кв. 5, Вишгород, 85979",018 566 23 23,pelekhavhustyn@example.com
Стельмах,Борис,Трохимович,male,1956-10-11,Будник,село Добромиль,"площа Аеропортівський 4-й, буд. 26, Глобине, 81581",037 580-00-37,cvlasenko@example.com
Товстоліс,Едуард,Олегович,male,1968-08-23,Шериф,селище Овруч,"сквер Лінія 41-ша, буд. 23 кв. 8, Судак , 22845",749-42-12,zorianfurs@example.net
Вернигора,Розалія,Амвросійовна,female,1953-02-04,Флорист,хутір Старий Самбір,"сквер Романа Кармена, буд. 263, Корюківка, 63486",592 00 96,zasukhanazar@example.org
Даниленко,Анастасія,Альбертівна,female,2001-07-21,Кінорежисер,село Щолкіне,"парк 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 74, Дунаївці, 19060",618 31 93,petrenkoiustym@example.org
Барабаш,Данило,Хомович,male,1995-08-05,Головний меркшейдер,місто Мар'їнка,"площа Балтський 7-й, буд. 0 кв. 11, Лисичанськ, 35561",+380 98 000-60-08,iustyna35@example.org
Вітер,Пармен,Бориславович,male,1941-06-12,Фармацевт,селище Нова Одеса,"площа Сімферопольська, буд. 286 кв. 90, Зборів, 13832",+380 (48) 600-06-37,valentynaeibozhenko@example.net
Рева,Варфоломій,Федорович,male,1995-05-26,Модельєр,селище Дубляни,"сквер Чайковського, буд. 7, Шумськ, 16459",778 19 35,viacheslav00@example.net
Гресь,Демид,Яремович,male,1944-12-28,Сценарист,село Новомосковськ,"сквер Кісельова Ігоря, буд. 72, Кипуче, 90322",+380 01 372 95 60,arsen78@example.org
Артюшенко,Данна,Юхимівна,female,1966-04-21,Стропальник,хутір Хирів,"узвіз Тиха, буд. 9, Дружківка, 33976",+380 46 949 75 98,liudmyla25@example.org
Михайличенко,Галина,Васильівна,female,1961-12-05,Нотаріус,селище Яготин,"площа 3-тя Суворовська, буд. 5, Моршин, 48290",899 50 48,boleslav32@example.org
Макогон,Володимир,Федорович,male,1988-09-02,Продюсер,місто Миколаїв,"шосе Успенська, буд. 8 кв. 2, Батурин, 96151",+380 99 139 54 22,deriazhnyisofiia@example.com
Литвиненко,Сергій,Валентинович,male,1969-08-07,Штукатур,місто Берегове,"провулок Лінія 23-тя, буд. 5, Тульчин, 39648",060-65-62,karasstefan@example.com
Фурс,Пармен,Несторович,male,2000-05-30,Паралегал,місто Знам'янка,"провулок Марії Демченко 2-й, буд. 790, Снігурівка, 61107",+380 80 089-51-87,mkarpa@example.net
Бабійчук,Назар,Орестович,male,1973-06-22,Нотаріус,село Гнівань,"провулок Академічна, буд. 7 кв. 366, Городок, 48303",800-40-20,lonyshchenko@example.org
Артюх,Маруся,Азарівна,female,1987-07-05,Сантехнік,хутір Селидове,"вулиця Промислова, буд. 726 кв. 3, Євпаторія, 67291",+380 30 978 37 85,riabovilpylyp@example.com
Данько,Галина,Омелянівна,female,1991-07-14,Паблік рилейшнз,селище Красилів,"сквер Совіньйонівський, буд. 3 кв. 06, Кодима, 17941",865-63-27,wruban@example.net
Власенко,Микита,Вадимович,male,1952-03-11,Історик,селище Хоростків,"провулок Західний 1-й, буд. 6 кв. 91, Подільськ, 05780",+380 98 431-74-23,cfranko@example.com
Матяш,Теодор,Адамович,male,1972-04-20,Соціолог,хутір Червоносів,"парк Мічманський 1-й, буд. 2 кв. 78, Євпаторія, 96684",028 006-52-04,bevzdemyd@example.org
Палій,Ада,Іллівна,female,1959-11-07,Геофізик,селище Новгород-Сіверський,"провулок Геологічна, буд. 5 кв. 20, Жовті Води, 33284",+380 (61) 568-67-00,antonzinkevych@example.net
